Name,Age Rating,Game Id,Install size,Platforms,Sources
Fortune-499,,fortune499_trove,,PC (Windows),Humble
Barony (Beta),PEGI 16,24349b736ad74d9db72e6cab21933877,,PC (Windows),Epic
Jotun: Valhalla Edition,,323580,,PC (Windows),Steam
3 Count Bout,,amzn1.adg.product.6463784a-5716-481d-b006-e19c26e9214c,,PC (Windows),Amazon
Dark Train,,125329,,PC (Windows),itch.io
Alba - A Wildlife Adventure,PEGI 3,8a0173bbe3ac48ac903f5bc7277e7b4e,,PC (Windows),Epic
Shadowrun: Dragonfall - Director’s Cut,PEGI 16,5b41454974be4d5883056ba298e53675,,PC (Windows),Epic
Sniper Elite 3,PEGI 16,238090,,PC (Windows),Steam
Swag and Sorcery,,929010,,PC (Windows),Steam
Batman: The Telltale Series,,fa070ce3-b0f8-40f5-aa53-aef28e822093,,PC (Windows),Amazon
Rogue Mansion,,roguemansion_trove,,PC (Windows),Humble
KEO,,1424910,,PC (Windows),Steam
Jurassic World Evolution,PEGI 16,648350,,PC (Windows),Steam
Roombo: First Blood,PEGI 16,roombo_firstblood_trove,,PC (Windows),Humble
Games of Glory,PEGI 12,342150,,PC (Windows),Steam
LEGO The Hobbit,PEGI 7,285160,,PC (Windows),Steam
Ape Out,PEGI 16,Coley,,PC (Windows),Epic
Offworld Trading Company,PEGI 3,Snapper,,PC (Windows),Epic
DIRT 5,,1038250,,PC (Windows),Steam
One Way Heroics,,266210,,PC (Windows),Steam
BioShock 2 Remastered,PEGI 18,409720,,PC (Windows),Steam
Adios,,amzn1.adg.product.ab888f57-d3f4-4961-a50e-eb891fe27aaa,,PC (Windows),Amazon
Isyium,,555080,,PC (Windows),Steam
Red Orchestra 2: Heroes of Stalingrad - Single Player,,236830,,PC (Windows),Steam
The Almost Gone,,amzn1.adg.product.38c74617-0495-40dd-aae7-29e2e8b24955,,PC (Windows),Amazon
Warhammer: Chaos & Conquest,,1144170,,PC (Windows),Steam
Hitman: Blood Money,PEGI 18,6860,,PC (Windows),Steam
Jawns,,jawns_Jawns,,,Humble
Dungeonland,,218130,,PC (Windows),Steam
Mad Tracks,,be3d0669-186a-4717-a1b3-83e1e1fcc329,,PC (Windows),Amazon
"Assassin's Creed Unity",PEGI 18,720,,PC (Windows),Ubisoft Connect
Train Station Renovation,,914010,,PC (Windows),Steam
The Adventure Pals,PEGI 7,396710,,PC (Windows),Steam
Woodle Tree Adventures,PEGI 3,299460,,PC (Windows),Steam
Lyric Sonata,,lyricsonata_trove,,PC (Windows),Humble
The King of Fighters 2000,,82d8ca92-26ed-4d0a-9ed8-b990c67727d6,,PC (Windows),Amazon
In Other Waters,,amzn1.adg.product.5a2dea57-7759-4312-8cd4-986ac1c46a45,,PC (Windows),Amazon
Ghost of a Tale,PEGI 12,1875167847,,PC (Windows),GOG
Warhammer: End Times - Vermintide,PEGI 16,235540,,PC (Windows),Steam
Idle Champions of the Forgotten Realms,PEGI 12,627690,,PC (Windows),Steam
DiRT Showdown,PEGI 7,201700,,PC (Windows),Steam
Sigma Theory: Global Cold War,,a947fa3c-3317-4a96-b06d-3f671d81c44d,,PC (Windows),Amazon
LOVE,PEGI 3,269270,,PC (Windows),Steam
Woten,,woten_Woten,,,Humble
Secret Files: Tunguska,,eb46c3ec-c6f2-4173-870d-3eeaaaf5ae9c,,PC (Windows),Amazon
Divinity: Dragon Commander,PEGI 12,243950,,PC (Windows),Steam
Cloud Jumpers,,764330,,PC (Windows),itch.io
Sigma Theory: Global Cold War,PEGI 7,1986246769,,PC (Windows),GOG
Quiplash,,351510,,PC (Windows),Steam
Interstellaria,,14930809,,PC (Windows),Indiegala
"The Wanderer: Frankenstein's Creature",,335c61ef-7760-4bf1-89c8-c5f7552d086f,,PC (Windows),Amazon
Alien Breed 2: Assault,PEGI 16,1786995757,,PC (Windows),GOG
Booth,,booth_trove,,PC (Windows),Humble
The Adventure Pals,,a9b25161-bc1e-48ef-bf69-a4beffb1e529,,PC (Windows),Amazon
SteamWorld Dig,PEGI 7,Origin.OFR.50.0002355,,PC (Windows),EA app
Project Hastur,,800700,,PC (Windows),Steam
Frozen Cortex,,58076754-0dff-4e07-94c1-9e81060e2f04,,PC (Windows),Amazon
"Drifter's Tales",,1935960,,PC (Windows),Steam
System Shock 2,,da725ca3-04b9-403d-a520-851b66322098,,PC (Windows),Amazon
Through The Darkest of Times,,1003090,,PC (Windows),Steam
Scrap Garden,PEGI 3,465760,,PC (Windows),Steam
Into The Breach,PEGI 12,Blobfish,,PC (Windows),Epic
SUPER BOT,,1136905,,PC (Windows),itch.io
Darkwood,,923130ebb546417b9d3115507f752d34,,PC (Windows),Epic
Kind Words,,kindwords_trove,,PC (Windows),Humble
Hacknet,PEGI 16,365450,,PC (Windows),Steam
Stranger Things 3: The Game,,0a697c1235fb4706a635cfa33f0306ec,,PC (Windows),Epic
"Assassin's Creed Revelations",PEGI 18,201870,,PC (Windows),Steam
Company of Heroes: Opposing Fronts,PEGI 18,9340,,PC (Windows),Steam
Loren The Amazon Princess,,257970,,PC (Windows),Steam
Doors: Paradox,,amzn1.adg.product.f295f4c6-5707-4637-8304-6eee17658841,,PC (Windows),Amazon
"DON'T GIVE UP",,dontgiveup_trove,,PC (Windows),Humble
Prince of Persia: The Sands of Time,,111,,PC (Windows),Ubisoft Connect
Calico,,amzn1.adg.product.2e2c1fd6-26b3-43ae-a327-868104772841,,PC (Windows),Amazon
Apex Legends,PEGI 16,Origin.OFR.50.0002694,,PC (Windows),EA app
Super Steampunk Pinball 2D,,775490,,PC (Windows),Steam
Bezier,,381320,,PC (Windows),Steam
Ozymandias,,1768280,,PC (Windows),Steam
Zup! 8,,799070,,PC (Windows),Steam
"Jerma's Big Adventure",,1722570,,PC (Windows),Steam
Packs - Ultimate Pack - Amazon Drop 5,,2055573657,,PC (Windows),GOG
Star Wars: The Force Unleashed II,,amzn1.adg.product.648bbdb2-2e67-4808-8732-4ee1baef09ff,,PC (Windows),Amazon
Throne of Lies: Medieval Politics,,595280,,PC (Windows),Steam
Midnight Protocol,,1162700,,PC (Windows),Steam
West of Dead,,1016790,,PC (Windows),Steam
DARK SOULS III,PEGI 16,374320,,PC (Windows),Steam
BIOMUTANT,PEGI 12,597820,,PC (Windows),Steam
Nox,,DR:235663500,,PC (Windows),EA app
Avernum 3: Ruined World,,691830,,PC (Windows),Steam
Joggernauts,,51f2d354-61ad-4243-8404-d2fdc111fc4e,,PC (Windows),Amazon
after HOURS,,afterhours_trove,,PC (Windows),Humble
Macdows 95,,macdows95_Macdows 95,,,Humble
Caster,,29800,,PC (Windows),Steam
Defend The Highlands,,374830,,PC (Windows),Steam
Darksburg,,939100,,PC (Windows),Steam
Wildfire,PEGI 12,431940,,PC (Windows),Steam
1979 Revolution:Black Friday,,1ea7d6c0-8521-4e57-86f8-70eed1d57584,,PC (Windows),Amazon
Half-Life 2: Episode Two,PEGI 16,420,,PC (Windows),Steam
Suzerain,,amzn1.adg.product.778e283c-b65f-4f04-8184-c992bf2dfd95,,PC (Windows),Amazon
Morphblade,,494720,,PC (Windows),Steam
Grotto,PEGI 18,grotto_choice_Grotto,,,Humble
Batman Arkham City - Game of the Year Edition,PEGI 16,Egret,,PC (Windows),Epic
Who Pressed Mute on Uncle Marcus?,,1628130,,PC (Windows),Steam
12 is Better Than 6,PEGI 16,410110,,PC (Windows),Steam
Over Top,,amzn1.adg.product.af0eafa2-22d5-4a60-af27-1062908c7708,,PC (Windows),Amazon
Need for Speed Heat,PEGI 16,Origin.OFR.50.0003426,,PC (Windows),EA app
"Evan's Remains",,1110050,,PC (Windows),Steam
F.E.A.R.: Extraction Point,PEGI 18,21110,,PC (Windows),Steam
I Am Fish,,1472560,,PC (Windows),Steam
Blade Assault,,amzn1.adg.product.4a10b5b0-d498-4a74-8053-e31f665dc82c,,PC (Windows),Amazon
趣拼拼：肖像画 Pleasure Puzzle:Portrait,,939620,,PC (Windows),Steam
Tiamat,,1456408,,PC (Windows),itch.io
20 Minute Metropolis,,20minutemetropolis_trove,,PC (Windows),Humble
Wasteland 3,,719040,,PC (Windows),Steam
Desert Child,,amzn1.adg.product.3d720bbb-fce0-42bb-b98e-b10e86b211bf,,PC (Windows),Amazon
CRACKHEAD,,554530,,PC (Windows),Steam
Pid ,,218740,,PC (Windows),Steam
Team Racing League,,504460,,PC (Windows),Steam
Slime Rancher,PEGI 3,433340,,PC (Windows),Steam
Aaero,PEGI 7,499890,,PC (Windows),Steam
